perturbation,FAR,FRR,Precision,Recall
original,0.4756,0.3944,0.5718,0.6056
brightness_down,0.4495,0.4814,0.5475,0.5186
brightness_up,0.4723,0.3975,0.5723,0.6025
contrast_down,0.4593,0.4348,0.5635,0.5652
contrast_up,0.456,0.4099,0.5758,0.5901
saturation_down,0.544,0.354,0.5547,0.646
saturation_up,0.3648,0.5062,0.5867,0.4938
rotate_15,0.0261,0.9907,0.2727,0.0093
rotate_-15,0.013,0.9814,0.6,0.0186
gaussian_blur,0.5342,0.3416,0.5638,0.6584
color_shift,0.4951,0.3913,0.5632,0.6087
original,0.4706,0.4379,0.5569,0.5621
brightness_down,0.4314,0.4814,0.5585,0.5186
brightness_up,0.4346,0.4938,0.5507,0.5062
contrast_down,0.4477,0.4783,0.5508,0.5217
contrast_up,0.4085,0.4876,0.569,0.5124
saturation_down,0.5163,0.441,0.5325,0.559
saturation_up,0.4379,0.4752,0.5578,0.5248
rotate_15,0.0392,0.9689,0.4545,0.0311
rotate_-15,0.0294,0.972,0.5,0.028
gaussian_blur,0.5261,0.4503,0.5237,0.5497
color_shift,0.4641,0.4596,0.5506,0.5404
original,0.4575,0.4037,0.5783,0.5963
brightness_down,0.3791,0.4658,0.5972,0.5342
brightness_up,0.4837,0.3944,0.5685,0.6056
contrast_down,0.4739,0.4161,0.5646,0.5839
contrast_up,0.4608,0.3882,0.5828,0.6118
saturation_down,0.5327,0.3571,0.5595,0.6429
saturation_up,0.3889,0.4938,0.578,0.5062
rotate_15,0.0392,0.9503,0.5714,0.0497
rotate_-15,0.0752,0.9193,0.5306,0.0807
gaussian_blur,0.4869,0.3944,0.5669,0.6056
color_shift,0.4542,0.3975,0.5826,0.6025
original,0.4625,0.433,0.5617,0.567
brightness_down,0.4463,0.4143,0.5785,0.5857
brightness_up,0.4072,0.486,0.569,0.514
contrast_down,0.4593,0.4393,0.5607,0.5607
contrast_up,0.4169,0.4455,0.5817,0.5545
saturation_down,0.4984,0.3863,0.5629,0.6137
saturation_up,0.4039,0.4891,0.5694,0.5109
rotate_15,0.0098,0.9938,0.4,0.0062
rotate_-15,0.013,0.9938,0.3333,0.0062
gaussian_blur,0.4951,0.4424,0.5408,0.5576
color_shift,0.456,0.4455,0.5597,0.5545
original,0.4658,0.4424,0.5559,0.5576
brightness_down,0.3876,0.5296,0.5593,0.4704
brightness_up,0.5049,0.4829,0.5171,0.5171
contrast_down,0.43,0.4984,0.5495,0.5016
contrast_up,0.456,0.4611,0.5527,0.5389
saturation_down,0.5277,0.4143,0.5371,0.5857
saturation_up,0.3746,0.5452,0.5594,0.4548
rotate_15,0.0326,0.9533,0.6,0.0467
rotate_-15,0.0358,0.9408,0.6333,0.0592
gaussian_blur,0.5342,0.4361,0.5246,0.5639
color_shift,0.4625,0.4361,0.5604,0.5639
original,0.443,0.4472,0.5669,0.5528
brightness_down,0.456,0.5342,0.5172,0.4658
brightness_up,0.4332,0.4907,0.5522,0.5093
contrast_down,0.43,0.5217,0.5385,0.4783
contrast_up,0.4137,0.4845,0.5666,0.5155
saturation_down,0.4919,0.4193,0.5533,0.5807
saturation_up,0.3648,0.5311,0.5741,0.4689
rotate_15,0,0.9907,1,0.0093
rotate_-15,0.0065,0.9876,0.6667,0.0124
gaussian_blur,0.4886,0.3913,0.5665,0.6087
color_shift,0.4495,0.441,0.566,0.559
original,0.4739,0.3975,0.5723,0.6025
brightness_down,0.3627,0.5155,0.5843,0.4845
brightness_up,0.4739,0.4317,0.5579,0.5683
contrast_down,0.4706,0.4379,0.5569,0.5621
contrast_up,0.4673,0.382,0.5819,0.618
saturation_down,0.5163,0.3913,0.5537,0.6087
saturation_up,0.3529,0.5,0.5985,0.5
rotate_15,0.1046,0.9037,0.4921,0.0963
rotate_-15,0.1046,0.8851,0.5362,0.1149
gaussian_blur,0.5294,0.3696,0.5562,0.6304
color_shift,0.4869,0.3913,0.5681,0.6087
original,0.4216,0.4534,0.577,0.5466
brightness_down,0.4379,0.4348,0.5759,0.5652
brightness_up,0.3987,0.528,0.5547,0.472
contrast_down,0.4281,0.4068,0.5932,0.5932
contrast_up,0.3824,0.5248,0.5667,0.4752
saturation_down,0.4935,0.3696,0.5734,0.6304
saturation_up,0.3497,0.5217,0.59,0.4783
rotate_15,0.0163,0.9876,0.4444,0.0124
rotate_-15,0.0196,0.9783,0.5385,0.0217
gaussian_blur,0.4314,0.472,0.5629,0.528
color_shift,0.402,0.4503,0.59,0.5497
original,0.4625,0.3738,0.586,0.6262
brightness_down,0.4658,0.4517,0.5517,0.5483
brightness_up,0.544,0.3645,0.5499,0.6355
contrast_down,0.4593,0.4517,0.5552,0.5483
contrast_up,0.4886,0.352,0.581,0.648
saturation_down,0.4984,0.4174,0.55,0.5826
saturation_up,0.4528,0.3956,0.5826,0.6044
rotate_15,0.0163,0.9844,0.5,0.0156
rotate_-15,0.0293,0.9813,0.4,0.0187
gaussian_blur,0.5375,0.352,0.5576,0.648
color_shift,0.4756,0.3738,0.5793,0.6262
original,0.4463,0.4424,0.5665,0.5576
brightness_down,0.4756,0.4673,0.5394,0.5327
brightness_up,0.443,0.4579,0.5613,0.5421
contrast_down,0.456,0.4486,0.5584,0.5514
contrast_up,0.43,0.4393,0.5769,0.5607
saturation_down,0.5016,0.4019,0.5549,0.5981
saturation_up,0.3941,0.4829,0.5784,0.5171
rotate_15,0.013,0.9844,0.5556,0.0156
rotate_-15,0.013,0.9907,0.4286,0.0093
gaussian_blur,0.4691,0.4548,0.5486,0.5452
color_shift,0.4593,0.433,0.5635,0.567
