perturbation,FAR,FRR,Precision,Recall
original,0.4332,0.3323,0.6178,0.6677
brightness_down,0.5407,0.2516,0.5921,0.7484
brightness_up,0.4495,0.3261,0.6113,0.6739
contrast_down,0.5212,0.2671,0.596,0.7329
contrast_up,0.3876,0.3509,0.6372,0.6491
saturation_down,0.4463,0.3261,0.613,0.6739
saturation_up,0.43,0.3261,0.6218,0.6739
rotate_15,0.1889,0.7516,0.5797,0.2484
rotate_-15,0.1466,0.8199,0.5631,0.1801
gaussian_blur,0.4821,0.2795,0.6105,0.7205
color_shift,0.43,0.3137,0.6261,0.6863
original,0.415,0.3478,0.6231,0.6522
brightness_down,0.5229,0.2888,0.5887,0.7112
brightness_up,0.3987,0.4037,0.6115,0.5963
contrast_down,0.5098,0.2919,0.5938,0.7081
contrast_up,0.3856,0.4037,0.6194,0.5963
saturation_down,0.4216,0.3509,0.6183,0.6491
saturation_up,0.4248,0.3758,0.6073,0.6242
rotate_15,0.3268,0.6708,0.5146,0.3292
rotate_-15,0.1242,0.8385,0.5778,0.1615
gaussian_blur,0.4706,0.3602,0.5886,0.6398
color_shift,0.4183,0.3665,0.6145,0.6335
original,0.3791,0.3634,0.6386,0.6366
brightness_down,0.4281,0.3043,0.631,0.6957
brightness_up,0.3856,0.3602,0.6358,0.6398
contrast_down,0.4248,0.295,0.6359,0.705
contrast_up,0.3595,0.3758,0.6463,0.6242
saturation_down,0.3954,0.354,0.6322,0.646
saturation_up,0.3725,0.3478,0.6481,0.6522
rotate_15,0.5229,0.413,0.5415,0.587
rotate_-15,0.0654,0.9161,0.5745,0.0839
gaussian_blur,0.4118,0.3292,0.6316,0.6708
color_shift,0.3856,0.3634,0.6347,0.6366
original,0.3779,0.3676,0.6364,0.6324
brightness_down,0.4788,0.3084,0.6016,0.6916
brightness_up,0.4007,0.3707,0.6215,0.6293
contrast_down,0.456,0.324,0.6078,0.676
contrast_up,0.3779,0.4112,0.6197,0.5888
saturation_down,0.3941,0.3894,0.6183,0.6106
saturation_up,0.3876,0.3832,0.6246,0.6168
rotate_15,0.1564,0.8505,0.5,0.1495
rotate_-15,0.1173,0.8536,0.5663,0.1464
gaussian_blur,0.4039,0.3209,0.6374,0.6791
color_shift,0.3844,0.3863,0.6254,0.6137
original,0.3648,0.3956,0.634,0.6044
brightness_down,0.443,0.3333,0.6114,0.6667
brightness_up,0.3909,0.3769,0.625,0.6231
contrast_down,0.43,0.3364,0.6174,0.6636
contrast_up,0.342,0.3832,0.6535,0.6168
saturation_down,0.3583,0.3863,0.6417,0.6137
saturation_up,0.3485,0.4081,0.6397,0.5919
rotate_15,0.1401,0.8629,0.5057,0.1371
rotate_-15,0.0423,0.9283,0.6389,0.0717
gaussian_blur,0.4853,0.2897,0.6048,0.7103
color_shift,0.3648,0.3956,0.634,0.6044
original,0.3876,0.3696,0.6304,0.6304
brightness_down,0.43,0.3106,0.6271,0.6894
brightness_up,0.4039,0.3571,0.6254,0.6429
contrast_down,0.4365,0.3075,0.6246,0.6925
contrast_up,0.3518,0.3975,0.6424,0.6025
saturation_down,0.3844,0.3571,0.6369,0.6429
saturation_up,0.3779,0.3851,0.6306,0.6149
rotate_15,0.2736,0.736,0.503,0.264
rotate_-15,0.0651,0.8727,0.6721,0.1273
gaussian_blur,0.4137,0.3509,0.622,0.6491
color_shift,0.3681,0.3696,0.6424,0.6304
original,0.3824,0.3571,0.6389,0.6429
brightness_down,0.4412,0.2888,0.6291,0.7112
brightness_up,0.3627,0.3602,0.6498,0.6398
contrast_down,0.4379,0.2981,0.6278,0.7019
contrast_up,0.3562,0.3789,0.6472,0.6211
saturation_down,0.3693,0.3447,0.6512,0.6553
saturation_up,0.3824,0.3509,0.6411,0.6491
rotate_15,0.3203,0.6056,0.5644,0.3944
rotate_-15,0.1863,0.8075,0.521,0.1925
gaussian_blur,0.402,0.3292,0.6372,0.6708
color_shift,0.3758,0.3354,0.6505,0.6646
original,0.4608,0.3416,0.6006,0.6584
brightness_down,0.585,0.2516,0.5738,0.7484
brightness_up,0.4935,0.3354,0.5863,0.6646
contrast_down,0.5752,0.2422,0.581,0.7578
contrast_up,0.4477,0.3478,0.6052,0.6522
saturation_down,0.4771,0.3323,0.5956,0.6677
saturation_up,0.4542,0.354,0.5994,0.646
rotate_15,0.085,0.8975,0.5593,0.1025
rotate_-15,0.1111,0.8168,0.6344,0.1832
gaussian_blur,0.6046,0.2298,0.5727,0.7702
color_shift,0.4673,0.3385,0.5983,0.6615
original,0.3779,0.3146,0.6548,0.6854
brightness_down,0.4397,0.2679,0.6351,0.7321
brightness_up,0.3779,0.3302,0.6495,0.6698
contrast_down,0.443,0.271,0.6324,0.729
contrast_up,0.3518,0.3489,0.6593,0.6511
saturation_down,0.3941,0.324,0.642,0.676
saturation_up,0.3811,0.3396,0.6444,0.6604
rotate_15,0.355,0.5981,0.542,0.4019
