perturbation,FAR,FRR,Precision,Recall
original,0.5147,0.4037,0.5486,0.5963
brightness_down,0.5765,0.4472,0.5014,0.5528
brightness_up,0.355,0.6398,0.5156,0.3602
contrast_down,0.5863,0.4379,0.5014,0.5621
contrast_up,0.3681,0.6491,0.5,0.3509
saturation_down,0.5244,0.4161,0.5387,0.5839
saturation_up,0.4625,0.4255,0.5657,0.5745
rotate_15,0,1,0,0
rotate_-15,0,1,0,0
gaussian_blur,0.8469,0.1242,0.5203,0.8758
color_shift,0.5049,0.4099,0.5507,0.5901
original,0.4118,0.4534,0.5828,0.5466
brightness_down,0.5,0.3913,0.5616,0.6087
brightness_up,0.1928,0.7298,0.5959,0.2702
contrast_down,0.5131,0.3851,0.5577,0.6149
contrast_up,0.2059,0.7391,0.5714,0.2609
saturation_down,0.4248,0.4348,0.5833,0.5652
saturation_up,0.3889,0.4845,0.5825,0.5155
rotate_15,0.0065,0.9814,0.75,0.0186
rotate_-15,0.0033,0.9876,0.8,0.0124
gaussian_blur,0.634,0.264,0.5499,0.736
color_shift,0.3954,0.4752,0.5828,0.5248
original,0.451,0.3696,0.5953,0.6304
brightness_down,0.3954,0.6056,0.5121,0.3944
brightness_up,0.3072,0.5776,0.5913,0.4224
contrast_down,0.3922,0.6149,0.5082,0.3851
contrast_up,0.2745,0.587,0.6129,0.413
saturation_down,0.4575,0.3602,0.5954,0.6398
saturation_up,0.4216,0.3758,0.6091,0.6242
rotate_15,0,1,0,0
rotate_-15,0,1,0,0
gaussian_blur,0.7876,0.2081,0.5141,0.7919
color_shift,0.4641,0.3602,0.592,0.6398
original,0.4267,0.4579,0.5705,0.5421
brightness_down,0.3909,0.5171,0.5636,0.4829
brightness_up,0.3029,0.6978,0.5105,0.3022
contrast_down,0.4039,0.514,0.5571,0.486
contrast_up,0.2378,0.6573,0.6011,0.3427
saturation_down,0.4528,0.4517,0.5587,0.5483
saturation_up,0.4104,0.4642,0.5772,0.5358
rotate_15,0,1,0,0
rotate_-15,0,1,0,0
gaussian_blur,0.6189,0.3146,0.5366,0.6854
color_shift,0.4202,0.4642,0.5714,0.5358
original,0.4528,0.4798,0.5458,0.5202
brightness_down,0.4495,0.4829,0.5461,0.5171
brightness_up,0.2345,0.7227,0.5528,0.2773
contrast_down,0.4821,0.4611,0.5389,0.5389
contrast_up,0.2573,0.7103,0.5407,0.2897
saturation_down,0.4593,0.4798,0.5422,0.5202
saturation_up,0.4332,0.5109,0.5414,0.4891
rotate_15,0.0358,0.972,0.45,0.028
rotate_-15,0.0293,0.972,0.5,0.028
gaussian_blur,0.6515,0.2897,0.5327,0.7103
color_shift,0.4169,0.5109,0.5509,0.4891
original,0.5244,0.441,0.5279,0.559
brightness_down,0.4984,0.5839,0.4669,0.4161
brightness_up,0.4007,0.5807,0.5233,0.4193
contrast_down,0.5081,0.5683,0.4712,0.4317
contrast_up,0.4723,0.4876,0.5323,0.5124
saturation_down,0.5375,0.441,0.5217,0.559
saturation_up,0.5179,0.4255,0.5378,0.5745
rotate_15,0,1,0,0
rotate_-15,0,1,0,0
gaussian_blur,0.7915,0.146,0.5309,0.854
color_shift,0.5375,0.3851,0.5455,0.6149
original,0.4967,0.3851,0.5657,0.6149
brightness_down,0.4281,0.5124,0.5451,0.4876
brightness_up,0.219,0.7019,0.589,0.2981
contrast_down,0.4902,0.4565,0.5385,0.5435
contrast_up,0.5196,0.3913,0.5521,0.6087
saturation_down,0.5327,0.323,0.5722,0.677
saturation_up,0.4673,0.3665,0.5879,0.6335
rotate_15,0.402,0.5404,0.5461,0.4596
rotate_-15,0.4183,0.5311,0.5412,0.4689
gaussian_blur,0.6699,0.2205,0.5504,0.7795
color_shift,0.4542,0.3789,0.59,0.6211
original,0.5261,0.4224,0.536,0.5776
brightness_down,0.4869,0.4845,0.527,0.5155
brightness_up,0.3366,0.6957,0.4876,0.3043
contrast_down,0.5229,0.4689,0.5166,0.5311
contrast_up,0.3235,0.677,0.5123,0.323
saturation_down,0.5523,0.4068,0.5306,0.5932
saturation_up,0.5163,0.4472,0.5298,0.5528
rotate_15,0.0719,0.9099,0.5686,0.0901
rotate_-15,0.0654,0.8913,0.6364,0.1087
gaussian_blur,0.6765,0.3199,0.5141,0.6801
color_shift,0.5523,0.4193,0.5253,0.5807
original,0.4984,0.3801,0.5653,0.6199
brightness_down,0.4919,0.3489,0.5806,0.6511
brightness_up,0.215,0.7009,0.5926,0.2991
contrast_down,0.57,0.2928,0.5647,0.7072
contrast_up,0.241,0.7009,0.5647,0.2991
saturation_down,0.4821,0.3614,0.5807,0.6386
saturation_up,0.456,0.3738,0.5894,0.6262
rotate_15,0.013,0.9688,0.7143,0.0312
rotate_-15,0.0163,0.9626,0.7059,0.0374
gaussian_blur,0.671,0.1869,0.5589,0.8131
color_shift,0.4919,0.3769,0.5698,0.6231
original,0.4756,0.433,0.5549,0.567
brightness_down,0.4984,0.4455,0.5378,0.5545
brightness_up,0.3225,0.648,0.533,0.352
contrast_down,0.4984,0.4486,0.5364,0.5514
contrast_up,0.228,0.6449,0.6196,0.3551
saturation_down,0.4625,0.4081,0.5723,0.5919
saturation_up,0.4821,0.433,0.5515,0.567
rotate_15,0.0586,0.9377,0.5263,0.0623
rotate_-15,0.0521,0.9315,0.5789,0.0685
gaussian_blur,0.3941,0.6604,0.4739,0.3396
color_shift,0.4397,0.4237,0.5781,0.5763
