index,brightness_down,brightness_up,color_shift,contrast_down,contrast_up,gaussian_blur,original,rotate_-15,rotate_15,saturation_down,saturation_up
brightness_down,1.0,1.0,1.0,1.0,1.0,0.171852933663872,1.0,0.31220790186694997,0.29904087334466223,0.02932406977976055,1.0
brightness_up,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004476348902588667,0.00422178990284548,1.0,0.7848312991256597
color_shift,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00262511392537676,0.0024716560447461612,1.0,0.5487698204796387
contrast_down,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03009761767739736,0.02856907985432411,0.30556039359779624,1.0
contrast_up,1.0,1.0,1.0,1.0,1.0,0.3944226150972332,1.0,0.13347087695326504,0.12740022906916676,0.07635143741543114,1.0
gaussian_blur,0.171852933663872,1.0,1.0,1.0,0.3944226150972332,1.0,1.0,5.820620054409913e-07,5.358947893146241e-07,1.0,0.001278243509400948
original,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004476348902588667,0.00422178990284548,1.0,0.7848312991256597
rotate_-15,0.31220790186694997,0.004476348902588667,0.00262511392537676,0.03009761767739736,0.13347087695326504,5.820620054409913e-07,0.004476348902588667,1.0,1.0,2.574892420693524e-08,1.0
rotate_15,0.29904087334466223,0.00422178990284548,0.0024716560447461612,0.02856907985432411,0.12740022906916676,5.358947893146241e-07,0.00422178990284548,1.0,1.0,2.3542283881242796e-08,1.0
saturation_down,0.02932406977976055,1.0,1.0,0.30556039359779624,0.07635143741543114,1.0,1.0,2.574892420693524e-08,2.3542283881242796e-08,1.0,0.00011780740567270263
saturation_up,1.0,0.7848312991256597,0.5487698204796387,1.0,1.0,0.001278243509400948,0.7848312991256597,1.0,1.0,0.00011780740567270263,1.0
