index,brightness_down,brightness_up,color_shift,contrast_down,contrast_up,gaussian_blur,original,rotate_-15,rotate_15,saturation_down,saturation_up
brightness_down,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
brightness_up,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5382853496663664
color_shift,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
contrast_down,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8653890984607296
contrast_up,1.0,1.0,1.0,1.0,1.0,0.5220988640413722,1.0,0.3193500236634726,0.17803229269697737,0.3262662397846074,1.0
gaussian_blur,1.0,1.0,1.0,1.0,0.5220988640413722,1.0,1.0,1.0,1.0,1.0,0.2015152563035046
original,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9343101493834705,1.0,1.0
rotate_-15,1.0,1.0,1.0,1.0,0.3193500236634726,1.0,1.0,1.0,1.0,1.0,0.11754509551176723
rotate_15,1.0,1.0,1.0,1.0,0.17803229269697737,1.0,0.9343101493834705,1.0,1.0,1.0,0.062092723355210676
saturation_down,1.0,1.0,1.0,1.0,0.3262662397846074,1.0,1.0,1.0,1.0,1.0,0.12033435091570559
saturation_up,1.0,0.5382853496663664,1.0,0.8653890984607296,1.0,0.2015152563035046,1.0,0.11754509551176723,0.062092723355210676,0.12033435091570559,1.0
