index,brightness_down,brightness_up,color_shift,contrast_down,contrast_up,gaussian_blur,original,rotate_-15,rotate_15,saturation_down,saturation_up
brightness_down,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7551111172952201,0.54902808608703,0.12166189991493177,1.0
brightness_up,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.051485114171355546,0.03428584601125298,1.0,1.0
color_shift,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0003154141347415267,0.0001842450202504503,1.0,0.40298853857629763
contrast_down,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.044829715256338415,0.029732606570027055,1.0,1.0
contrast_up,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0054130461061709205,0.0033875407605092494,1.0,1.0
gaussian_blur,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.475210822247654e-05,4.80825931307563e-05,1.0,0.17392081671356138
original,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0004459123798042368,0.00026255101230200227,1.0,0.5009172186622077
rotate_-15,0.7551111172952201,0.051485114171355546,0.0003154141347415267,0.044829715256338415,0.0054130461061709205,8.475210822247654e-05,0.0004459123798042368,1.0,1.0,1.8178563674191894e-06,1.0
rotate_15,0.54902808608703,0.03428584601125298,0.0001842450202504503,0.029732606570027055,0.0033875407605092494,4.80825931307563e-05,0.00026255101230200227,1.0,1.0,9.53802408261377e-07,1.0
saturation_down,0.12166189991493177,1.0,1.0,1.0,1.0,1.0,1.0,1.8178563674191894e-06,9.53802408261377e-07,1.0,0.013334344581931277
saturation_up,1.0,1.0,0.40298853857629763,1.0,1.0,0.17392081671356138,0.5009172186622077,1.0,1.0,0.013334344581931277,1.0
