index,brightness_down,brightness_up,color_shift,contrast_down,contrast_up,gaussian_blur,original,rotate_-15,rotate_15,saturation_down,saturation_up
brightness_down,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
brightness_up,1.0,1.0,0.8166113695325353,1.0,0.32623534687377814,1.0,0.31931964447484895,1.0,1.0,0.1570518387028229,0.6198347981690472
color_shift,1.0,0.8166113695325353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
contrast_down,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
contrast_up,1.0,0.32623534687377814,1.0,1.0,1.0,1.0,1.0,1.0,0.9253716115707469,1.0,1.0
gaussian_blur,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
original,1.0,0.31931964447484895,1.0,1.0,1.0,1.0,1.0,1.0,0.9078528127409623,1.0,1.0
rotate_-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8570322151177218,1.0
rotate_15,1.0,1.0,1.0,1.0,0.9253716115707469,1.0,0.9078528127409623,1.0,1.0,0.480995199707144,1.0
saturation_down,1.0,0.1570518387028229,1.0,1.0,1.0,1.0,1.0,0.8570322151177218,0.480995199707144,1.0,1.0
saturation_up,1.0,0.6198347981690472,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
