index,brightness_down,brightness_up,color_shift,contrast_down,contrast_up,gaussian_blur,original,rotate_-15,rotate_15,saturation_down,saturation_up
brightness_down,1.0,1.0,0.28951375639380333,1.0,0.00878323259156086,1.0,0.41564850657252844,8.290021887045527e-08,0.00011988141957255372,0.9071564606316912,0.24310422231713255
brightness_up,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01243870977818537,0.951485379246722,1.0,1.0
color_shift,0.28951375639380333,1.0,1.0,0.4288563843407311,1.0,1.0,1.0,0.06277128794067478,1.0,1.0,1.0
contrast_down,1.0,1.0,0.4288563843407311,1.0,0.01466191475636069,1.0,0.6070257877556352,1.8377943335020564e-07,0.00022543801373748603,1.0,0.3625311055751965
contrast_up,0.00878323259156086,1.0,1.0,0.01466191475636069,1.0,0.15508495457638452,1.0,1.0,1.0,1.0,1.0
gaussian_blur,1.0,1.0,1.0,1.0,0.15508495457638452,1.0,1.0,8.148721128386176e-06,0.0043477929934942336,1.0,1.0
original,0.41564850657252844,1.0,1.0,0.6070257877556352,1.0,1.0,1.0,0.040991613833778646,1.0,1.0,1.0
rotate_-15,8.290021887045527e-08,0.01243870977818537,0.06277128794067478,1.8377943335020564e-07,1.0,8.148721128386176e-06,0.040991613833778646,1.0,1.0,0.014661914756360722,0.07635716228944209
rotate_15,0.00011988141957255372,0.951485379246722,1.0,0.00022543801373748603,1.0,0.0043477929934942336,1.0,1.0,1.0,1.0,1.0
saturation_down,0.9071564606316912,1.0,1.0,1.0,1.0,1.0,1.0,0.014661914756360722,1.0,1.0,1.0
saturation_up,0.24310422231713255,1.0,1.0,0.3625311055751965,1.0,1.0,1.0,0.07635716228944209,1.0,1.0,1.0
