index,brightness_down,brightness_up,color_shift,contrast_down,contrast_up,gaussian_blur,original,rotate_-15,rotate_15,saturation_down,saturation_up
brightness_down,1.0,0.33631757247062893,1.0,1.0,1.0,1.0,1.0,0.007510077161699453,0.007094876513358673,1.0,1.0
brightness_up,0.33631757247062893,1.0,0.39008008107135594,0.0414776198199321,1.0,3.7931388643975576e-05,0.1603846811253276,1.0,1.0,0.06349449538870115,0.9692644000122155
color_shift,1.0,0.39008008107135594,1.0,1.0,1.0,1.0,1.0,0.009150697029163308,0.008650444809987397,1.0,1.0
contrast_down,1.0,0.0414776198199321,1.0,1.0,0.3257042379413525,1.0,1.0,0.0004904601434924541,0.00045946485352856925,1.0,1.0
contrast_up,1.0,1.0,1.0,0.3257042379413525,1.0,0.0007582830360584984,1.0,1.0,1.0,0.4656576902001293,1.0
gaussian_blur,1.0,3.7931388643975576e-05,1.0,1.0,0.0007582830360584984,1.0,1.0,8.633393869613892e-08,7.914309078795149e-08,1.0,0.5266315599800121
original,1.0,0.1603846811253276,1.0,1.0,1.0,1.0,1.0,0.002826236369146953,0.0026616244095747947,1.0,1.0
rotate_-15,0.007510077161699453,1.0,0.009150697029163308,0.0004904601434924541,1.0,8.633393869613892e-08,0.002826236369146953,1.0,1.0,0.000847775726685343,0.03126576502769478
rotate_15,0.007094876513358673,1.0,0.008650444809987397,0.00045946485352856925,1.0,7.914309078795149e-08,0.0026616244095747947,1.0,1.0,0.0007954743470593017,0.0296818225056639
saturation_down,1.0,0.06349449538870115,1.0,1.0,0.4656576902001293,1.0,1.0,0.000847775726685343,0.0007954743470593017,1.0,1.0
saturation_up,1.0,0.9692644000122155,1.0,1.0,1.0,0.5266315599800121,1.0,0.03126576502769478,0.0296818225056639,1.0,1.0
