index,brightness_down,brightness_up,color_shift,contrast_down,contrast_up,gaussian_blur,original,rotate_-15,rotate_15,saturation_down,saturation_up
brightness_down,1.0,1.0,1.0,1.0,1.0,0.2862321915237527,1.0,0.08205735852659324,0.07630183355459828,1.0,1.0
brightness_up,1.0,1.0,0.05013823905081431,1.0,1.0,6.152200503036985e-05,0.06920624808136588,1.0,1.0,0.021936512392827946,0.1229408294036017
color_shift,1.0,0.05013823905081431,1.0,1.0,0.26815110728720026,1.0,1.0,0.0005496945189208218,0.0004986315117220998,1.0,1.0
contrast_down,1.0,1.0,1.0,1.0,1.0,0.6378491751158818,1.0,0.031270261535985173,0.02892239916887189,1.0,1.0
contrast_up,1.0,1.0,0.26815110728720026,1.0,1.0,0.0006889716778453968,0.3547332726644468,1.0,1.0,0.13032609122441072,0.5828262038309253
gaussian_blur,0.2862321915237527,6.152200503036985e-05,1.0,0.6378491751158818,0.0006889716778453968,1.0,1.0,1.302035636816463e-07,1.1442844343030211e-07,1.0,1.0
original,1.0,0.06920624808136588,1.0,1.0,0.3547332726644468,1.0,1.0,0.0008345859747490428,0.0007584524610454812,1.0,1.0
rotate_-15,0.08205735852659324,1.0,0.0005496945189208218,0.031270261535985173,1.0,1.302035636816463e-07,0.0008345859747490428,1.0,1.0,0.00019008799349733897,0.001766795186979563
rotate_15,0.07630183355459828,1.0,0.0004986315117220998,0.02892239916887189,1.0,1.1442844343030211e-07,0.0007584524610454812,1.0,1.0,0.0001716491995837857,0.0016110739688300667
saturation_down,1.0,0.021936512392827946,1.0,1.0,0.13032609122441072,1.0,1.0,0.00019008799349733897,0.0001716491995837857,1.0,1.0
saturation_up,1.0,0.1229408294036017,1.0,1.0,0.5828262038309253,1.0,1.0,0.001766795186979563,0.0016110739688300667,1.0,1.0
