perturbation,CNN_mean,FN_mean,HOG_mean,LBP_mean,CNN_std,FN_std,HOG_std,LBP_std
original,0.4579,0.0965,0.3999,0.4778,0.0167,0.0201,0.0308,0.0408
brightness_down,0.4292,0.1076,0.4814,0.4716,0.039,0.02,0.0546,0.0564
brightness_up,0.4596,0.1243,0.4058,0.2886,0.0449,0.0255,0.0381,0.0694
contrast_down,0.4514,0.1148,0.4733,0.4967,0.0169,0.0201,0.0502,0.0617
contrast_up,0.438,0.0949,0.3757,0.3128,0.0327,0.0223,0.0313,0.1082
saturation_down,0.5121,0.0923,0.4054,0.4886,0.0181,0.0232,0.0357,0.0442
saturation_up,0.3884,0.0988,0.3956,0.4556,0.0349,0.0203,0.0316,0.043
rotate_15,0.0297,0.1203,0.2744,0.0588,0.0293,0.0218,0.1326,0.1234
rotate_-15,0.0339,0.1233,0.0985,0.0585,0.0316,0.0294,0.0467,0.1286
gaussian_blur,0.5032,0.1171,0.455,0.6742,0.0352,0.0271,0.0642,0.1248
color_shift,0.4605,0.0982,0.3989,0.4677,0.0253,0.0238,0.033,0.0527
