perturbation,CNN_mean,FN_mean,HOG_mean,LBP_mean,CNN_std,FN_std,HOG_std,LBP_std
original,0.4226,0.0927,0.3576,0.4226,0.0276,0.0141,0.0245,0.037
brightness_down,0.4776,0.1076,0.2923,0.4819,0.0396,0.0209,0.0279,0.0791
brightness_up,0.4527,0.143,0.361,0.6695,0.0532,0.0186,0.0254,0.0554
contrast_down,0.4534,0.107,0.2954,0.4648,0.036,0.0138,0.0289,0.0899
contrast_up,0.4375,0.1057,0.3775,0.6245,0.0543,0.0164,0.0228,0.1084
saturation_down,0.3952,0.0958,0.3535,0.4083,0.0288,0.0147,0.0232,0.0479
saturation_up,0.4941,0.093,0.3654,0.4307,0.041,0.0139,0.0254,0.0485
rotate_15,0.9708,0.1194,0.6981,0.931,0.0283,0.0228,0.1512,0.1405
rotate_-15,0.963,0.1079,0.871,0.9276,0.0362,0.0165,0.0505,0.1439
gaussian_blur,0.4104,0.1014,0.3116,0.2734,0.0465,0.0168,0.0377,0.1517
color_shift,0.4219,0.0952,0.3554,0.4204,0.0303,0.0179,0.0262,0.0491
