perturbation,CNN_mean,FN_mean,HOG_mean,LBP_mean,CNN_std,FN_std,HOG_std,LBP_std
original,0.5774,0.9073,0.6424,0.5774,0.0276,0.0141,0.0245,0.037
brightness_down,0.5224,0.8924,0.7077,0.5181,0.0396,0.0209,0.0279,0.0791
brightness_up,0.5473,0.857,0.639,0.3305,0.0532,0.0186,0.0254,0.0554
contrast_down,0.5466,0.893,0.7046,0.5352,0.036,0.0138,0.0289,0.0899
contrast_up,0.5625,0.8943,0.6225,0.3756,0.0543,0.0164,0.0228,0.1084
saturation_down,0.6048,0.9042,0.6464,0.5917,0.0288,0.0147,0.0232,0.0479
saturation_up,0.5059,0.907,0.6346,0.5693,0.041,0.0139,0.0254,0.0485
rotate_15,0.0292,0.8806,0.3019,0.069,0.0283,0.0228,0.1512,0.1405
rotate_-15,0.037,0.8921,0.129,0.0724,0.0362,0.0165,0.0505,0.1439
gaussian_blur,0.5896,0.8986,0.6884,0.7266,0.0465,0.0168,0.0377,0.1517
color_shift,0.5781,0.9048,0.6446,0.5796,0.0303,0.0179,0.0262,0.0491
